Compound	InChI-Key
2-oxoadipate	InChIKey=FGSBNBBHOZHUBO-UHFFFAOYSA-L
binuclear non-heme iron cluster	
<i>all-trans</i>-retinol	InChIKey=FPIPGXGPPPQFEQ-OVSJKPMPSA-N
&beta;-L-arabinofuranose	InChIKey=HMFHBZSHGGEWLO-KLVWXMOXSA-N
<i>O</i>-perylenebutylmethylphosphonic-acid-p-nitrophenyl ester	InChIKey=TZCMIDUYESNULG-UHFFFAOYSA-N
4-hydroxy-3-hexaprenylbenzoate	InChIKey=LKMQQQABIGIHGL-LAAQXVIISA-M
(7<i>R</i>,8<i>S</i>)-8-amino-7-(carboxyamino)nonanoate	InChIKey=OQNJZSIPDMTUAJ-JGVFFNPUSA-M
ADP	InChIKey=XTWYTFMLZFPYCI-KQYNXXCUSA-K
P<sup>1</sup>,P<sup>4</sup>-<i>bis</i>(5'-adenosyl) tetraphosphate	InChIKey=YOAHKNVSNCMZGQ-XPWFQUROSA-J
<i>N</i>-acetyl-L-glutamate 5-semialdehyde	InChIKey=BCPSFKBPHHBDAI-LURJTMIESA-M
taurocholate	InChIKey=WBWWGRHZICKQGZ-HZAMXZRMSA-M
L-serine	InChIKey=MTCFGRXMJLQNBG-REOHCLBHSA-N
5-chloromaleylacetate	InChIKey=SCSZJXOTAAUHEL-UPHRSURJSA-L
3-oxomyristoyl-CoA	InChIKey=IQNFBGHLIVBNOU-QSGBVPJFSA-J
&beta;-D-ribofuranose	InChIKey=HMFHBZSHGGEWLO-TXICZTDVSA-N
3-phospho-D-glycerate	InChIKey=OSJPPGNTCRNQQC-UWTATZPHSA-K
(2<i>E</i>,6<i>E</i>)-farnesal	InChIKey=YHRUHBBTQZKMEX-YFVJMOTDSA-N
glutarate	InChIKey=JFCQEDHGNNZCLN-UHFFFAOYSA-L
hydrogen cyanide	InChIKey=LELOWRISYMNNSU-UHFFFAOYSA-N
1-(5-phospho-&beta;-D-ribosyl)-ATP	InChIKey=RKNHJBVBFHDXGR-KEOHHSTQSA-H
4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate	InChIKey=YCJNYHCCOXVYAF-UHFFFAOYSA-M
(3E)-undec-3-enoyl-CoA	InChIKey=HVXCCJIYXIZGOP-NADLOITOSA-J
GLYCO-CT-AMINO	
6-<i>cis</i>, 3-oxo-tridecenoyl-CoA	InChIKey=FDXHXLPCLXEYSU-DXAZUOFZSA-J
1-(oleoyl)-<i>sn</i>-glycero-3-phosphoethanolamine	InChIKey=PYVRVRFVLRNJLY-MZMPXXGTSA-N
3-deoxy-D-arabino-heptulosonate 7-phosphate	InChIKey=PJWIPEXIFFQAQZ-PUFIMZNGSA-K
<i>sn</i>-glycerol 1-phosphate	InChIKey=AWUCVROLDVIAJX-VKHMYHEASA-L
6-<i>O</i>-methyl-&beta;-D-galacturonate	InChIKey=DICCNWCUKCYGNF-SXUWKVJYSA-N
x-dglc-HEX-1:5|6:d	
L-selenomethionine	InChIKey=RJFAYQIBOAGBLC-BYPYZUCNSA-N
chloride	InChIKey=VEXZGXHMUGYJMC-UHFFFAOYSA-M
phosphoribulosylformimino-AICAR-phosphate	InChIKey=BLKFNHOCHNCLII-GHVQHMAVSA-J
&beta;-L-rhamnopyranose	InChIKey=SHZGCJCMOBCMKK-YJRYQGEOSA-N
<i>N</i>-(1-deoxy-D-fructopyranos-1-yl)glycine	InChIKey=YGUYJMQMTNJNFS-LPBLVHEISA-N
dUMP	InChIKey=JSRLJPSBLDHEIO-SHYZEUOFSA-L
8-oxo-dGMP	InChIKey=AQIVLFLYHYFRKU-VPENINKCSA-L
ferrirubin	InChIKey=SEQVPEQKJMMKNO-RQCMKQRDSA-N
3-acetamidopropanal	InChIKey=ARJPPNFIEQKVBB-UHFFFAOYSA-N
&alpha;-L-idopyranuronate	InChIKey=AEMOLEFTQBMNLQ-VCSGLWQLSA-M
glycolate	InChIKey=AEMRFAOFKBGASW-UHFFFAOYSA-M
4-coumaryl alcohol	InChIKey=PTNLHDGQWUGONS-OWOJBTEDSA-N
4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8-en-3&beta;-ol	InChIKey=GLCDBDRQLZKKOJ-LJAIZBFVSA-M
b-dgal-HEX-1:4	
coumaryl acetate	InChIKey=UUEPXFWSBUIUAZ-NSCUHMNNSA-N
<i>aldehydo</i>-D-glucose	InChIKey=GZCGUPFRVQAUEE-SLPGGIOYSA-N
R'C(R)S-S(R)CR'	
uroporphyrinogen-I	InChIKey=QTTNOSKSLATGQB-UHFFFAOYSA-F
D-xylulose 5-phosphate	InChIKey=FNZLKVNUWIIPSJ-RFZPGFLSSA-L
&beta;-D-mannosyl-(C55 &omega;-saturated dolichyl phosphate)	InChIKey=MBYVKTIIZNUHKN-NIVAAIEQSA-M
<i>S</i>-(2-succinyl)-glutathione	InChIKey=PWCIUOASSAHGHI-WPZUCAASSA-K
4-amino-2-methyl-5-pyrimidinemethanol	InChIKey=VUTBELPREDJDDH-UHFFFAOYSA-N
L-methionine	InChIKey=FFEARJCKVFRZRR-BYPYZUCNSA-N
Al<SUP>3+</SUP>	InChIKey=REDXJYDRNCIFBQ-UHFFFAOYSA-N
urea-1-carboxylate	InChIKey=AVWRKZWQTYIKIY-UHFFFAOYSA-M
nitric oxide	InChIKey=MWUXSHHQAYIFBG-UHFFFAOYSA-N
<i>O</i>-acetyl-L-carnitine	InChIKey=RDHQFKQIGNGIED-MRVPVSSYSA-N
2-(2-methylpyridin-3-yl)ethanol	InChIKey=MFPDJTXHKIFPNP-UHFFFAOYSA-N
a-lman-HEX-1:5|6:d	
carbamate	InChIKey=KXDHJXZQYSOELW-UHFFFAOYSA-M
Cd<SUP>2+</SUP>	InChIKey=WLZRMCYVCSSEQC-UHFFFAOYSA-N
(<i>S</i>)-nicotine	InChIKey=SNICXCGAKADSCV-JTQLQIEISA-O
UTP	InChIKey=PGAVKCOVUIYSFO-XVFCMESISA-J
4-(methylsulfanyl)-2-oxobutanoate	InChIKey=SXFSQZDSUWACKX-UHFFFAOYSA-M
avenastenone	InChIKey=XHRPJMCAEXVFFM-KADTVRCUSA-N
nicotinate adenine dinucleotide	InChIKey=SENPVEZBRZQVST-HISDBWNOSA-L
a-dgal-HEX-1:5	
shikimate 3-phosphate	InChIKey=QYOJSKGCWNAKGW-PBXRRBTRSA-K
2-isopropylmaleate	InChIKey=NJMGRJLQRLFQQX-HYXAFXHYSA-L
(<i>Z</i>)-2-methylaconitate	InChIKey=NUZLRKBHOBPTQV-ARJAWSKDSA-K
dihomo &gamma;-linolenoyl-CoA	InChIKey=FJWJALRUNNZIBB-DDQUOPDJSA-J
3-phenylpropanoate	InChIKey=XMIIGOLPHOKFCH-UHFFFAOYSA-M
AMP	InChIKey=UDMBCSSLTHHNCD-KQYNXXCUSA-L
2,5-hexanedione	InChIKey=OJVAMHKKJGICOG-UHFFFAOYSA-N
4-amino-3-methoxybenzoate	InChIKey=JNFGLYJROFAOQP-UHFFFAOYSA-M
[aryl-carrier protein] group	
1-stearoyl-2-palmitoyl-<i>sn</i>-glycerol 3-phosphate	InChIKey=USQMHZSVXZAKAI-PGUFJCEWSA-L
cholate	InChIKey=BHQCQFFYRZLCQQ-OELDTZBJSA-M
acetic acid	InChIKey=QTBSBXVTEAMEQO-UHFFFAOYSA-N
(&gamma;-glutamylcysteine-<i>S</i>-yl)-bimane	InChIKey=GDOCADMPVSPYIX-RYUDHWBXSA-M
D-<i>erythro</i>-1-(imidazol-4-yl)-glycerol 3-phosphate	InChIKey=HFYBTHCYPKEDQQ-RITPCOANSA-L
<i>di-trans,octa-cis</i>-undecaprenyl group	
L-asparagine	InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N
ubiquinol-<i>8</i>	InChIKey=LOJUQFSPYHMHEO-SGHXUWJISA-N
<i>N</i><sup>7</sup>-methylguanosine 5'-phosphate	InChIKey=AOKQNZVJJXPUQA-KQYNXXCUSA-M
<i>trans</i>-4-hydroxy-L-proline	InChIKey=PMMYEEVYMWASQN-DMTCNVIQSA-N
Ni<sup>2+</sup>	InChIKey=VEQPNABPJHWNSG-UHFFFAOYSA-N
(L-prolyl)adenylate	InChIKey=KQFKHTAASHMYDJ-TWBCTODHSA-N
<i>N</i><sup>1</sup>-acetylspermine	InChIKey=GUNURVWAJRRUAV-UHFFFAOYSA-Q
(2E)-dec-2-enoyl-CoA	InChIKey=MGNBGCRQQFMNBM-YJHHLLFWSA-J
3-(imidazol-4-yl)-2-oxopropyl phosphate	InChIKey=YCFFMSOLUMRAMD-UHFFFAOYSA-L
1-deoxy-L-glycero-tetrulose 4-phosphate	InChIKey=OKYHYXLCTGGOLM-SCSAIBSYSA-L
succinate	InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L
&alpha;-D-glucose 6-phosphate	InChIKey=NBSCHQHZLSJFNQ-DVKNGEFBSA-L
lignoceroyl-CoA	InChIKey=MOYMQYZWIUKGGY-JBKAVQFISA-J
antimonite	InChIKey=JXYAODGLKNBUTA-UHFFFAOYSA-N
5-(hydroxymethyl)-2-methylphenol	InChIKey=XGYCFBRLHVWRLV-UHFFFAOYSA-N
methylglyoxal	InChIKey=AIJULSRZWUXGPQ-UHFFFAOYSA-N
4,4-dimethyl-5&alpha;-cholesta-8-en-3&beta;-ol	InChIKey=FYHRVINOXYETMN-QGBOJXOESA-N
thiosulfate	InChIKey=DHCDFWKWKRSZHF-UHFFFAOYSA-M
L-glutamate	InChIKey=WHUUTDBJXJRKMK-VKHMYHEASA-M
CO<SUB>2</SUB>	InChIKey=CURLTUGMZLYLDI-UHFFFAOYSA-N
homofuraneol	InChIKey=GWCRPYGYVRXVLI-UHFFFAOYSA-N
L-methionine-(<i>R</i>)-<i>S</i>-oxide	InChIKey=QEFRNWWLZKMPFJ-ZXPFJRLXSA-N
4-methylumbelliferyl glucoside	InChIKey=YUDPTGPSBJVHCN-YMILTQATSA-N
3-hydroxy-3-(4-hydroxyphenyl)propanoate	InChIKey=AKWHTKRUNUYXDS-UHFFFAOYSA-M
arsenate	InChIKey=DJHGAFSJWGLOIV-UHFFFAOYSA-L
K<SUP>+</SUP>	InChIKey=NPYPAHLBTDXSSS-UHFFFAOYSA-N
8-<i>epi</i>-prostaglandin F<sub>2&alpha;</sub>	InChIKey=PXGPLTODNUVGFL-NAPLMKITSA-M
NADH	InChIKey=BOPGDPNILDQYTO-NNYOXOHSSA-L
3-hydroxybenzyl alcohol	InChIKey=OKVJCVWFVRATSG-UHFFFAOYSA-N
melezitose	InChIKey=QWIZNVHXZXRPDR-WSCXOGSTSA-N
30-oxolanosterol	InChIKey=PGGIMLIQOHYFIS-PUXRVUTHSA-N
3-chlorobenzyl alcohol	InChIKey=ZSRDNPVYGSFUMD-UHFFFAOYSA-N
oxaloacetate	InChIKey=KHPXUQMNIQBQEV-UHFFFAOYSA-L
cyclic-2,3-<i>O</i>-oxalyl-L-threonate	InChIKey=NKBSFRFTBUHMJF-UHFFFAOYSA-M
x-HEX-1:5	
S-adenosyl-4-methylsulfanyl-2-oxobutanoate	InChIKey=UOKVQQMBGVMXPU-BPIXLOBBSA-N
adjacent thymidine-2'-deoxycytidine in DNA	
D-glyceraldehyde 3-phosphate	InChIKey=LXJXRIRHZLFYRP-VKHMYHEASA-L
<i>trans</i>-dienelactone	InChIKey=AYFXPGXAZMFWNH-ONEGZZNKSA-M
GMP	InChIKey=RQFCJASXJCIDSX-UUOKFMHZSA-L
isobutyl acetate	InChIKey=GJRQTCIYDGXPES-UHFFFAOYSA-N
2-myristoleoyl-<i>sn</i>-glycero-3-phosphoethanolamine	InChIKey=OMFJMHRPSFBIAJ-OOFWQKGWSA-N
avenasterol	InChIKey=MCWVPSBQQXUCTB-OQTIOYDCSA-N
5-(hydroxymethyl)-2-methyl-4(1H)-pyrimidinone	InChIKey=ATTZFOQANXUZIP-UHFFFAOYSA-N
ubiquinol-6	InChIKey=DYOSCPIQEYRQEO-LPHQIWJTSA-N
5,6,7,8-tetrahydrofolate	InChIKey=MSTNYGQPCMXVAQ-RYUDHWBXSA-L
propanoate	InChIKey=XBDQKXXYIPTUBI-UHFFFAOYSA-M
<i>N</i><sup>2</sup>-formyl-<i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide	InChIKey=VDXLUNDMVKSKHO-XVFCMESISA-L
(L-isoleucyl)adenylate	InChIKey=ACZWYNUJBRLCEC-XATJSACLSA-N
3-(methylsulfanyl)propanoate	InChIKey=CAOMCZAIALVUPA-UHFFFAOYSA-M
7,8-dihydroneopterin 3'-triphosphate	InChIKey=DGGUVLXVLHAAGT-XINAWCOVSA-J
tetrahydropteroyl tri-L-glutamate	InChIKey=RXWVHRYZTWZATH-XSLAGTTESA-J
protoporphyrinogen IX	InChIKey=UHSGPDMIQQYNAX-UHFFFAOYSA-L
carbon monoxide	InChIKey=UGFAIRIUMAVXCW-UHFFFAOYSA-N
L-canavanine	InChIKey=FSBIGDSBMBYOPN-VKHMYHEASA-O
&beta;-D-fructofuranose 6-phosphate	InChIKey=BGWGXPAPYGQALX-ARQDHWQXSA-L
methyl &alpha;-D-glucoside	InChIKey=HOVAGTYPODGVJG-ZFYZTMLRSA-N
GLYCO-CT-ACETYL	
(E)-N-(1-phenylpropan-2-ylidene)hydroxylamine	InChIKey=AUYFJUMCPAMOKN-CSKARUKUSA-N
a carboxyl group	
isethionate	InChIKey=SUMDYPCJJOFFON-UHFFFAOYSA-M
L-alanine	InChIKey=QNAYBMKLOCPYGJ-REOHCLBHSA-N
a-dara-HEX-2:5|2:keto	
GDP-&alpha;-D-mannose	InChIKey=MVMSCBBUIHUTGJ-GDJBGNAASA-L
ubiquinone-<i>8</i>	InChIKey=ICFIZJQGJAJRSU-SGHXUWJISA-N
all-<i>trans</i>-undecaprenyl group	
&beta;-D-ribulofuranose	InChIKey=LQXVFWRQNMEDEE-UOWFLXDJSA-N
2-hydroxy-2-methylpropanoate	InChIKey=BWLBGMIXKSTLSX-UHFFFAOYSA-M
<i>S</i>-methylglutathione	InChIKey=QTQDDTSVRVWHMO-BQBZGAKWSA-M
ADP group	
a-lido-HEX-1:5|6:a	
all-<i>trans</i>-hexaprenyl diphosphate	InChIKey=NGFSMHKFTZROKJ-MMSZMYIBSA-K
uroporphyrinogen-III	InChIKey=HUHWZXWWOFSFKF-UHFFFAOYSA-F
dup 128	InChIKey=TVXOXGBTADZYCZ-UHFFFAOYSA-N
2-<i>all trans</i>-hexaprenyl-6-methoxyhydroquinone	InChIKey=ZAGWHOPYPMUKOK-FRICUITQSA-N
&beta;-D-rhamnopyranose	InChIKey=SHZGCJCMOBCMKK-RWOPYEJCSA-N
verdoheme	InChIKey=JFGVATQDLBFQRV-HPQJSUICSA-K
sulfite	InChIKey=LSNNMFCWUKXFEE-UHFFFAOYSA-L
adenosine 3',5'-bisphosphate	InChIKey=WHTCPDAXWFLDIH-KQYNXXCUSA-J
vanillate	InChIKey=WKOLLVMJNQIZCI-UHFFFAOYSA-M
4&alpha;-formyl-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol	InChIKey=GFGANDKVOKQAGH-WKYRUEGDSA-N
palmitoleoyl-CoA	InChIKey=QBYOCCWNZAOZTL-MDMKAECGSA-J
<i>cis</i>-dienelactone	InChIKey=AYFXPGXAZMFWNH-ARJAWSKDSA-M
2-(&alpha;-hydroxyethyl)thiamine diphosphate	InChIKey=RRUVJGASJONMDY-UHFFFAOYSA-L
5-aminopentanoate	InChIKey=JJMDCOVWQOJGCB-UHFFFAOYSA-N
4-vinylphenol	InChIKey=FUGYGGDSWSUORM-UHFFFAOYSA-N
(2S)-2-aminohex-4-ynoate	InChIKey=VDWGCMRALYSYJV-YFKPBYRVSA-N
5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole	InChIKey=PDACUKOKVHBVHJ-XVFCMESISA-M
2-bromoacetyl CoA	InChIKey=RNBXHSPQPNFOKA-GRFIIANRSA-J
4-methyl-2-oxopentanoate	InChIKey=BKAJNAXTPSGJCU-UHFFFAOYSA-M
dihydroxyacetone	InChIKey=RXKJFZQQPQGTFL-UHFFFAOYSA-N
3-<i>aci</i>-nitropropanoate	InChIKey=DCSLGQYKPBZRHI-UHFFFAOYSA-M
4a-hydroxy-L-erythro-5,6,7,8-tetrahydrobiopterin	InChIKey=KJKIEFUPAPPGBC-XXKOCQOQSA-N
D-sorbitol	InChIKey=FBPFZTCFMRRESA-JGWLITMVSA-N
2-maleylacetate	InChIKey=SOXXPQLIZIPMIZ-UPHRSURJSA-L
L-arginino-succinate	InChIKey=KDZOASGQNOPSCU-ZBHICJROSA-M
1D-<i>myo</i>-inositol 4-monophosphate	InChIKey=INAPMGSXUVUWAF-CNWJWELYSA-L
hydrogen sulfide	InChIKey=RWSOTUBLDIXVET-UHFFFAOYSA-N
2''-<i>O</i>-acetyl-ADP-ribose	InChIKey=BFNOPXRXIQJDHO-YDKGJHSESA-L
<i>N</i>-(1-deoxy-D-fructos-1-yl)-L-alanine	InChIKey=MJRIHYBPSWPPOI-MLQRGLMKSA-N
all-<i>trans</i>-octaprenyl diphosphate	InChIKey=IKKLDISSULFFQO-DJMILUHSSA-K
3-(methylsulfanyl)propanal	InChIKey=CLUWOWRTHNNBBU-UHFFFAOYSA-N
ammonia	InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-N
sirohydrochlorin	InChIKey=KWIZRXMMFRBUML-AHGFGAHVSA-F
formate	InChIKey=BDAGIHXWWSANSR-UHFFFAOYSA-M
4,5-secobiotin	InChIKey=ZARFDBYKHCOTRH-UHFFFAOYSA-M
Triton X-100	InChIKey=JYCQQPHGFMYQCF-UHFFFAOYSA-N
ferricyanide	InChIKey=CRWNKXHVYMVLCY-UHFFFAOYSA-N
4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine	InChIKey=PKYFHKIYHBRTPI-UHFFFAOYSA-L
a factor	
3'-azido-3'-deoxythymidine	InChIKey=HBOMLICNUCNMMY-XLPZGREQSA-N
FMN	InChIKey=ANKZYBDXHMZBDK-SCRDCRAPSA-K
(L-glutamyl)adenylate	InChIKey=KQRQKNUGLKGTSJ-LTOLZBHSSA-M
&beta;-D-glucopyranose	InChIKey=WQZGKKKJIJFFOK-VFUOTHLCSA-N
5-(2-hydroxyethyl)-4-methylthiazole	InChIKey=BKAWJIRCKVUVED-UHFFFAOYSA-N
dUTP	InChIKey=AHCYMLUZIRLXAA-SHYZEUOFSA-J
adenosine 2'-monophosphate	InChIKey=QDFHPFSBQFLLSW-KQYNXXCUSA-L
(indol-3-yl)pyruvate	InChIKey=RSTKLPZEZYGQPY-UHFFFAOYSA-M
(3R)-hydroxy-5-<i>trans</i>-dodecenoyl-CoA	InChIKey=AYORDFMYYBNSBO-GKMLISQESA-J
hexadecanal	InChIKey=NIOYUNMRJMEDGI-UHFFFAOYSA-N
5-phospho-&alpha;-D-ribose 1-diphosphate	InChIKey=PQGCEDQWHSBAJP-TXICZTDVSA-I
UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine	InChIKey=LFTYTUAZOPRMMI-CFRASDGPSA-L
3-<i>all trans</i>-hexaprenyl-4-aminobenzoate	InChIKey=ZBVQLNVIBOLJDL-LAAQXVIISA-M
D-<i>threo</i>-isocitrate	InChIKey=ODBLHEXUDAPZAU-ZAFYKAAXSA-K
dAMP	InChIKey=KHWCHTKSEGGWEX-RRKCRQDMSA-L
reduced riboflavin	InChIKey=UTKDOUCGQVLJIN-PIGZVRMJSA-N
(2E,4E)-tetradeca-2,4-dienoyl-CoA	InChIKey=ULOGSHZMDLRQRY-INBGBNCRSA-J
(3R)-hydroxy, 6-<i>trans</i>-tridecenoyl-CoA	InChIKey=ADZJVTNIXNSNGU-OVQIFRBASA-J
ergosteryl oleate	InChIKey=VVZNLLXLOKRQPH-NZIRWOIASA-N
2-<i>all trans</i>-hexaprenyl-6-methoxyaminophenol	InChIKey=JTLNJQPPHCEOEJ-FRICUITQSA-N
1-oleoyl-<i>sn</i>-glycerol 3-phosphate	InChIKey=WRGQSWVCFNIUNZ-GDCKJWNLSA-L
5-fluorouridine	InChIKey=FHIDNBAQOFJWCA-UAKXSSHOSA-N
CDP group	
3-dehydrosphinganine	InChIKey=KBUNOSOGGAARKZ-KRWDZBQOSA-O
H<SUP>+</SUP>	InChIKey=GPRLSGONYQIRFK-UHFFFAOYSA-N
ferulate	InChIKey=KSEBMYQBYZTDHS-HWKANZROSA-M
4&alpha;-methyl-cholesta-8,14-dienol	InChIKey=OUCINTVMAVITJZ-HESBYNJASA-N
3-hydroxy-heptanoyl-CoA	InChIKey=VISQBWUSDZWVMM-FPVIQYCMSA-J
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate	InChIKey=JTFITTQBRJDSTL-KVTDHHQDSA-L
b-dgal-HEX-1:5|6:a	
glycine	InChIKey=DHMQDGOQFOQNFH-UHFFFAOYSA-N
methanol	InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N
b-lman-HEX-1:5|6:d	
decylglucoside	InChIKey=JDRSMPFHFNXQRB-CMTNHCDUSA-N
miltefosine	InChIKey=PQLXHQMOHUQAKB-UHFFFAOYSA-N
(<i>S</i>)-ureidoglycolate	InChIKey=NWZYYCVIOKVTII-SFOWXEAESA-M
methylarsonate	InChIKey=QYPPRTNMGCREIM-UHFFFAOYSA-M
<i>(R)</i>-lactic acid	InChIKey=JVTAAEKCZFNVCJ-UWTATZPHSA-N
AMP group	
b-dglc-HEX-1:5	
preuroporphyrinogen	InChIKey=WDFJYRZCZIUBPR-UHFFFAOYSA-F
x-dglc-HEX-1:4	
6-(hydroxymethyl)-7,8-dihydropterin	InChIKey=CQQNNQTXUGLUEV-UHFFFAOYSA-N
<i>keto</i>-D-fructose	InChIKey=BJHIKXHVCXFQLS-UYFOZJQFSA-N
selenodiglutathione	InChIKey=GJEZZQVPWMCGSB-BJDJZHNGSA-L
isothiocyanate	InChIKey=ZBKFYXZXZJPWNQ-UHFFFAOYSA-N
1,2-dipalmitoyl-<i>sn</i>-glycero-3-phosphocholine	InChIKey=KILNVBDSWZSGLL-KXQOOQHDSA-N
2-chloro-<I>cis</I>-dienelactone	InChIKey=ADSGHWJRPOXXTD-IHWYPQMZSA-M
5-enolpyruvoyl-shikimate 3-phosphate	InChIKey=QUTYKIXIUDQOLK-PRJMDXOYSA-J
2-palmitoleoyl-<i>sn</i>-glycero-3-phosphoethanolamine	InChIKey=MAFRHGZTIOAXEL-WHXUGTBJSA-N
aminomethylpyrimidine	InChIKey=OZOHTVFCSKFMLL-UHFFFAOYSA-O
<i>cis</i>-aconitate	InChIKey=GTZCVFVGUGFEME-IWQZZHSRSA-K
(L-aspartyl)adenylate	InChIKey=QPBSGQWTJLPZNF-VWJPMABRSA-M
&beta;-D-galactose 6-phosphate	InChIKey=NBSCHQHZLSJFNQ-FPRJBGLDSA-L
benzaldehyde	InChIKey=HUMNYLRZRPPJDN-UHFFFAOYSA-N
D-threonine	InChIKey=AYFVYJQAPQTCCC-STHAYSLISA-N
5-amino-4-imidazolecarboxyamide	InChIKey=PYNDTGFTPOZGRW-UHFFFAOYSA-N
(R)-pantoate	InChIKey=OTOIIPJYVQJATP-BYPYZUCNSA-M
L-valine	InChIKey=KZSNJWFQEVHDMF-BYPYZUCNSA-N
3-oxolignoceroyl-CoA	InChIKey=JJSJTIWFKNSCHC-JBKAVQFISA-J
phenanthrene-ring	
dehydro-D-arabinono-1,4-lactone	InChIKey=ZZZCUOFIHGPKAK-UWTATZPHSA-N
<i>N</i>-acetyl-&beta;-glucosaminylamine	InChIKey=MCGXOCXFFNKASF-FMDGEEDCSA-N
x-dara-HEX-2:5|2:keto	
sulfamate	InChIKey=IIACRCGMVDHOTQ-UHFFFAOYSA-M
(<i>S</i>)-2-aceto-2-hydroxybutanoate	InChIKey=VUQLHQFKACOHNZ-LURJTMIESA-M
glyoxylate	InChIKey=HHLFWLYXYJOTON-UHFFFAOYSA-M
mesaconate	InChIKey=HNEGQIOMVPPMNR-NSCUHMNNSA-L
precorrin-1	InChIKey=CJLVUWULFKHGFB-NZCAJUPMSA-F
dGTP	InChIKey=HAAZLUGHYHWQIW-KVQBGUIXSA-J
2-arachidonoylglycerol	InChIKey=RCRCTBLIHCHWDZ-DOFZRALJSA-N
<i>N</i><sup>6</sup>-acetyl-L-lysine	InChIKey=DTERQYGMUDWYAZ-ZETCQYMHSA-N
3-methylbutanol	InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N
sphingosine 1-phosphate	InChIKey=DUYSYHSSBDVJSM-KRWOKUGFSA-M
C<sub>20</sub> sphinganine	InChIKey=UFMHYBVQZSPWSS-VQTJNVASSA-O
(S)-2-aminobutanoate	InChIKey=QWCKQJZIFLGMSD-VKHMYHEASA-N
(indol-3-yl)acetamide	InChIKey=ZOAMBXDOGPRZLP-UHFFFAOYSA-N
4'-phosphopantetheine	InChIKey=JDMUPRLRUUMCTL-VIFPVBQESA-L
iron(III)-biliverdine-IX &alpha;	InChIKey=IWNXUEJVORLSHL-UHFFFAOYSA-J
1-piperideine 6-carboxylate	InChIKey=CSDPVAKVEWETFG-YFKPBYRVSA-M
<i>O</i>-phospho-L-homoserine	InChIKey=FXDNYOANAXWZHG-VKHMYHEASA-L
2-methylbutanal	InChIKey=BYGQBDHUGHBGMD-UHFFFAOYSA-N
orotidine 5'-phosphate	InChIKey=KYOBSHFOBAOFBF-XVFCMESISA-K
succinate semialdehyde	InChIKey=UIUJIQZEACWQSV-UHFFFAOYSA-M
(R)-4'-phosphopantothenoyl-L-cysteine	InChIKey=XQYALQVLCNHCFT-CBAPKCEASA-K
a-dido-HEX-1:5|6:a	
Mg<SUP>2+</SUP>	InChIKey=JLVVSXFLKOJNIY-UHFFFAOYSA-N
3-phenylpropionitrile	InChIKey=ACRWYXSKEHUQDB-UHFFFAOYSA-N
4-hydroxy-5-methyl-2-methylene-3(2H)-furanone	InChIKey=NPMQEIOINVDLMV-UHFFFAOYSA-N
dimethylarsino-glutathione	InChIKey=JGDXFQORBMPJGR-YUMQZZPRSA-M
4-aminobenzoate	InChIKey=ALYNCZNDIQEVRV-UHFFFAOYSA-M
3-dehydro-4-methylzymosterol	InChIKey=DBPZYKHQDWKORQ-SINUOACOSA-N
1-oleoyl-<i>sn</i>-glycerol	InChIKey=RZRNAYUHWVFMIP-QJRAZLAKSA-N
lathosterone	InChIKey=FLRPNSKUGCVRRB-IINKENNYSA-N
<i>N</i>-(1-deoxy-D-fructos-1-yl)-L-valine	InChIKey=JEQHVKBNRPNQDY-UTINFBMNSA-N
crystal violet	InChIKey=LGLFFNDHMLKUMI-UHFFFAOYSA-N
8-oxo-GTP	InChIKey=JCHLKIQZUXYLPW-UMMCILCDSA-J
(R)-<i>N</i>-formyl-&beta;-hydroxy-L-kynurenine	InChIKey=GADDUKLGJYJXSL-WCBMZHEXSA-N
cycloleucine	InChIKey=NILQLFBWTXNUOE-UHFFFAOYSA-N
(<i>R</i>)-4'-phosphopantothenate	InChIKey=XHFVGHPGDLDEQO-ZETCQYMHSA-K
phenylglyoxal	InChIKey=OJUGVDODNPJEEC-UHFFFAOYSA-N
5'-deoxyadenosine	InChIKey=XGYIMTFOTBMPFP-KQYNXXCUSA-N
&beta;-nicotinate D-ribonucleotide	InChIKey=JOUIQRNQJGXQDC-ZYUZMQFOSA-L
GLYCO-CT-N-ACETYL	
x-HEP-1:5	
shikimate	InChIKey=JXOHGGNKMLTUBP-HSUXUTPPSA-M
isoguanine	InChIKey=DRAVOWXCEBXPTN-UHFFFAOYSA-N
o-dgal-HEX-0:0|1:aldi	
&alpha;-D-glucuronate	InChIKey=AEMOLEFTQBMNLQ-WAXACMCWSA-M
